FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
773,774,82716,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,59286.582172599999467,162358884.691000014543533
774,775,82816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,18682.987421099998755,22238960.442299999296665
775,776,82916,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,17722.934395699998277,17610034.788800001144409
776,777,83016,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,54189.526651499996660,139082790.479999989271164
777,778,83116,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,95662.423410500006867,370778678.421999990940094
778,779,83216,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,18313.389204899998731,12490039.339700000360608
779,780,83316,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,83459.632526300003519,282926529.612999975681305
780,781,83416,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,59756.200123100003111,177603401.530999988317490
781,782,83516,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,15785.697164600000178,16174879.582900000736117
782,783,83616,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,172675.021162999997614,729756022.669999957084656
783,784,83716,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,49529.496794300001056,182161100.756000012159348
784,785,83816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Southern Boundary Ranges,Southern Boundary Ranges,Chaînons Boundary méridionaux,1,50,-999,190101,USA,19,1901,190101,Alaska Region,Southeast Alaska,Southern Southeast Alaska, , , , , , ,-999, ,20081020,NEW, ,17862.732261400000425,22637214.654599998146296
